seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
97,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,8,,,,1790077005.228,2026-09-22T11:36:45.227+00:00,7000b3dc-b84c-4a5b-82cc-87c25467cd9a,200,,False,408.519,193.14,194,,False,138,logs
98,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,8,,,,1790077007.788,2026-09-22T11:36:47.787+00:00,ff7a7392-e771-4a80-a38d-74256c064580,200,,False,469.795,16.99,119,101.77,True,41,logs
99,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,8,,,,1790077008.259,2026-09-22T11:36:48.258+00:00,9bf97f01-4957-4e64-a033-57f35b5af9a0,200,,False,199.284,18.64,19,,False,43,logs
100,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,8,,,,1790077010.685,2026-09-22T11:36:50.685+00:00,11727f0c-41b0-4d91-92c0-91c8d949d60a,200,,False,718.363,107.66,434,325.78,True,110,logs
101,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,8,,,,1790077011.405,2026-09-22T11:36:51.405+00:00,7715311b-273b-44f8-8440-2f9cc210c551,200,,False,212.314,28.93,29,,False,110,logs
102,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,8,,,,1790077014.028,2026-09-22T11:36:54.028+00:00,3b68f476-fac7-4f14-ad1f-0d43ed795e30,200,,False,613.345,195.42,315,119.3,True,79,logs
103,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,8,,,,1790077014.642,2026-09-22T11:36:54.642+00:00,d62f358a-2f35-4433-a4b4-935a1e7d0a55,200,,False,257.567,83.93,84,,False,79,logs
104,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,8,,,,1790077017.062,2026-09-22T11:36:57.062+00:00,d86af6d5-f406-4fc0-8301-e3214d127541,200,,False,4036.859,30.47,3554,3522.96,True,133,logs
105,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,8,,,,1790077021.101,2026-09-22T11:37:01.100+00:00,7c3afb77-dc12-476b-bac7-db7ef9b14bd4,200,,False,265.411,22.2,23,,False,133,logs
106,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,8,,,,1790077023.542,2026-09-22T11:37:03.541+00:00,981b8d06-9455-42b3-9e05-f77be595026c,200,,False,1286.072,146.15,972,824.93,True,119,logs
